hyperlink,Link,Brand,Model,Min Micron (µm),Max Micron (µm),Grind Range (µm),Total Steps/Clicks,Step Type,Approx. µm per Step/Click,Grinder Characteristics & Coffee Brewing Notes,Verification Notes,notes formula
K-Plus,https://honestcoffeeguide.com/1zpresso-k-plus-grind-settings/,1Zpresso,K-Plus,0,1330,1330,90,"External adjustment, stepped (rotation.number.tick)",14.77777778,"The K-series espresso/all-round model with a 48mm stainless-steel conical burr and a magnetic catch cup (versus the K-Pro's threaded cup). Grind range ~0–1330µm spans espresso to coarser filter and immersion brews. The fine external stepping gives precise espresso dial-in, and the burr geometry yields a consistent grind supporting clean extractions across pour-over and espresso. Solidly built for home use.",OK - range matches source,
K-Pro,https://honestcoffeeguide.com/1zpresso-k-pro-grind-settings/,1Zpresso,K-Pro,0,1400,1400,90,"External adjustment, stepped (rotation.number.tick)",15.55555556,"The value entry point of the K-series, using the same 48mm stainless-steel conical burr set as its siblings but with a threaded catch cup rather than magnetic, and a maximum dose around 30–35g. External adjustment makes it fast and easy to dial in across espresso through filter, and the 48mm burr delivers good consistency at both fine and coarse grinds. Ergonomic wood knob; moderate grind speed.",OK - range matches source,
K-Ultra,https://honestcoffeeguide.com/1zpresso-k-ultra-grind-settings/,1Zpresso,K-Ultra,0,760,760,100,"External adjustment, stepped (numbered dial)",7.6,"1Zpresso's flagship K-series all-rounder, built around a 48mm heptagonal stainless-steel conical burr with tight assembly tolerancing, a foldable handle and carrying case. The finer 20-micron stepping and 100-click rotation give more granular dial-in than the rest of the K-series, suiting it equally to espresso and pour-over. The heptagonal burr produces very uniform particle distribution for clean, balanced extractions, and the external numbered adjustment makes brew-to-brew repeatability easy.",Range matches source (note: 760 max is low vs K-Max/K-Pro 1400),
Q Air,https://honestcoffeeguide.com/1zpresso-q-air-grind-settings/,1Zpresso,Q Air,0,1360,1360,120,"Internal adjustment, stepped",11.33333333,"An ultralight travel/beginner pour-over grinder (~365g) small enough to fit inside an AeroPress plunger. It uses a 38mm stainless-steel heptagonal conical burr on a dual-bearing, triaxial shaft for stability. The coarser 25-micron internal stepping is geared toward filter/pour-over rather than espresso precision, but the heptagonal burr still delivers consistent grounds for its size and price class. Tool-free disassembly preserves calibration during cleaning.",OK - range matches source,
Q2 (Heptagonal burrs),https://honestcoffeeguide.com/1zpresso-q2-heptagonal-burrs-grind-settings/,1Zpresso,Q2 (Heptagonal burrs),0,1360,1360,120,"Internal adjustment, stepped (rotation.number.tick)",11.33333333,"The current international Q2 configuration, fitted with a 38mm grade-420 stainless-steel heptagonal conical burr on a dual-bearing shaft. The heptagonal geometry grinds slightly slower than the older pentagonal burr but produces a more uniform particle distribution with fewer fines, improving cup clarity for pour-over and AeroPress. Compact (~475g) travel grinder; the coarse internal stepping makes it best for filter rather than fine espresso.",OK - range matches source,
Q2 (Pentagonal burrs),https://honestcoffeeguide.com/1zpresso-q2-pentagonal-burrs-grind-settings/,1Zpresso,Q2 (Pentagonal burrs),0,1360,1360,120,"Internal adjustment, stepped (rotation.number.tick)",11.33333333,"The original Q2 burr geometry — a 38mm grade-420 stainless-steel pentagonal conical burr. The pentagonal design cuts faster than the heptagonal version but produces slightly more fines, giving a marginally less uniform grind that adds body but can reduce clarity, especially in lighter pour-overs. Same compact dual-bearing travel chassis as the heptagonal Q2; best for medium-fine to medium-coarse filter brewing.",OK - range matches source,
Q2 S,https://honestcoffeeguide.com/1zpresso-q2-s-grind-settings/,1Zpresso,Q2 S,0,1360,1360,120,"Internal adjustment, stepped (rotation.number.tick)",11.33333333,"A refined Q2 with the upgraded 38mm grade-420 stainless-steel heptagonal conical burr on a dual-bearing, triaxial shaft (~465g). The heptagonal burr gives more uniform grounds and fewer fines than the original pentagonal Q2 for cleaner filter and AeroPress cups. As with the rest of the Q line, the 25-micron internal stepping targets pour-over/travel use rather than precise espresso.",OK - range matches source,
X-Pro,https://honestcoffeeguide.com/1zpresso-x-pro-grind-settings/,1Zpresso,X-Pro,0,1240,1240,270,"External adjustment dial, stepped (rotation.number.tick)",4.592592593,"Uses 40mm heptagonal stainless-steel conical burrs in a high-grade aluminum-alloy body (~610g). The external adjustment ring is the headline feature — far quicker and more intuitive than older internal designs — and the burrs show better alignment than 1Zpresso's Q-series, yielding a cleaner, more consistent grind. A versatile all-rounder that excels at filter/pour-over while still being fine enough to dial in espresso.",OK - range matches source,
X-Pro S,https://honestcoffeeguide.com/1zpresso-x-pro-s-grind-settings/,1Zpresso,X-Pro S,0,1240,1240,270,"External adjustment dial, stepped (rotation.number.tick)",4.592592593,"Mechanically identical to the X-Pro — same 40mm heptagonal steel conical burrs and 60-click/12.5-micron external adjustment. The 'S' denotes the updated foldable handle, making it more compact and travel-friendly; burr material and adjustment performance are unchanged. Best suited to filter/pour-over with capable espresso fine-tuning.",OK - range matches source,
X-Ultra,https://honestcoffeeguide.com/1zpresso-x-ultra-grind-settings/,1Zpresso,X-Ultra,0,1210,1210,270,"External adjustment, removable dial, stepped",4.481481481,"Uses 40mm heptagonal burrs (an upgraded X-series geometry) in an aluminum-alloy body with a removable external adjustment dial for easy zero calibration. The 12.5-micron stepped increments sit in a versatile sweet spot — fine enough for meaningful espresso adjustments yet coarse enough that pour-over settings don't require excessive clicking. Marketed as the most versatile X-series model across drip, AeroPress and espresso.",OK - range matches source,
ZP6,https://honestcoffeeguide.com/1zpresso-zp6-grind-settings/,1Zpresso,ZP6,240,1050,810,90,"External top adjustment dial, stepped (number.tick)",9,"Uses the specialized 48mm hexagonal stainless-steel 'ZP6 burr' engineered for unimodal particle distribution and maximum cup clarity in pour-over — a single-purpose filter/pour-over grinder, not for espresso (range 240–1050µm). It is the grinder Carlos Medina used to win the 2023 World Brewers Cup. The design centers on clean, consistent grinds and easy disassembly; the original ZP6's exact click count is not reliably documented.",OK - range matches source,
ZP6 Special,https://honestcoffeeguide.com/1zpresso-zp6-special-grind-settings/,1Zpresso,ZP6 Special,240,1050,810,90,"External top adjustment dial, stepped (number.tick)",9,"Uses the same specialized 48mm hexagonal stainless-steel 'ZP6 burr' optimized for unimodal grind distribution and exceptional pour-over clarity, housed in the K-Pro body (~750g). It is the relaunched, refined version of the ZP6 — same dedicated filter/pour-over mission but with a finer, more intuitive top dial (90 clicks, shared with the K-series award-winning ring) for precise dialing of clarity and sweetness. A purpose-built pour-over grinder, not for espresso (range 240–1050µm).",OK - range matches source,
Orbit,https://honestcoffeeguide.com/acaia-orbit-grind-settings/,Acaia,Orbit,0,1400,1400,200,Stepless micrometric,7,"60mm conical-burr single-dose grinder with stepless adjustment displayed as rotations.number.tick (e.g. 1+3.2). All-rounder built for both espresso and filter, with a heavy aluminium body and built-in scale-aware single-dosing workflow. Adjustment is effectively stepless so micron-per-step is not fixed; the very wide 0-1400 range covers Turkish through cold brew.",OK - range matches source,
Best,https://honestcoffeeguide.com/anfim-best-grind-settings/,Anfim,Best,190,1400,1210,28,Stepped collar (worm-gear),43.21428571,Commercial-style on-demand grinder using large flat burrs (Anfim uses 75mm-class flat burrs on its shop-grade models). Primarily an espresso/all-round shop grinder with stepped worm-gear collar adjustment. Built with a heavy-duty motor and metal body for high throughput.,Stepless (Anfim) per official - micron/step NA,
SP II,https://honestcoffeeguide.com/anfim-sp-ii-grind-settings/,Anfim,SP II,170,510,340,65,Stepped collar,5.230769231,"Dedicated commercial espresso grinder with flat burrs, designed for a narrow espresso-focused range (170-510 microns). Stepped adjustment via numbered collar with sub-steps; the tight range reflects its single-purpose espresso role. Heavy metal construction for cafe use.",Stepless (Anfim) per official - micron/step NA,
Coffee Mill,https://honestcoffeeguide.com/balmuda-coffee-mill-grind-settings/,Balmuda,Coffee Mill,0,1400,1400,23,Click-stepped,60.86956522,Compact electric home grinder with conical burrs and click-stepped adjustment from 0 to 23 clicks. Positioned as an all-round home grinder though best suited to medium and coarser filter brews; the manufacturer warns against the finest settings (0-6) which can damage the grinder. Lightweight consumer build rather than a precision espresso unit.,OK - range matches source,
Encore,https://honestcoffeeguide.com/baratza-encore-grind-settings/,Baratza,Encore,250,1200,950,40,External stepped dial,23.75,"Entry-level all-rounder using Baratza 38mm M2 conical steel burrs. 40-step external stepped adjustment ring; intended for filter/drip, pour over, French press and AeroPress rather than consistent espresso. Reliable, repairable build that became the standard beginner home grinder.",OK - range matches source,
Encore ESP,https://honestcoffeeguide.com/baratza-encore-esp-grind-settings/,Baratza,Encore ESP,230,1380,1150,40,External stepped dial (finer espresso zone),28.75,"Espresso-capable version of the Encore using 40mm M2 conical burrs with a recalibrated gearbox so more of the 40 steps fall in the espresso range. All-rounder that can pull home espresso plus do filter brews on the same robust repairable Encore chassis. Steps 1-20 weighted toward espresso, 21-40 toward filter and coarser.",OK - range matches source,
Encore ESP Pro,https://honestcoffeeguide.com/baratza-encore-esp-pro-grind-settings/,Baratza,Encore ESP Pro,210,1190,980,60,External stepped dial (high-res),16.33333333,"Updated Pro version of the Encore ESP with 40mm conical burrs and a finer, higher-resolution stepped scale for more espresso precision. All-round home grinder skewing toward espresso plus filter brewing. Maintains Baratza's repairable design and adds threadless burr access and improved adjustment granularity.",OK - range matches source,
Forté AP,https://honestcoffeeguide.com/baratza-forte-ap-grind-settings/,Baratza,Forté AP,230,1150,920,200,Macro+micro stepped,4.6,Commercial-grade grinder with 54mm flat steel burrs (AP = All Purpose). Dual macro/micro stepped adjustment (numbered macro ring 1-10 plus lettered micro steps A-Z) for fine control across filter and espresso. Ships with steel flat burrs tuned for all-purpose brewing; metal build with digital display and timed dosing.,OK - range matches source,
Forté BG,https://honestcoffeeguide.com/baratza-forte-bg-grind-settings/,Baratza,Forté BG,230,1150,920,200,Macro+micro stepped,4.6,Commercial-grade grinder essentially identical to the Forté AP but BG (Brew Grinder) ships with 54mm ceramic flat burrs tuned toward filter/brewed coffee. Same dual macro/micro stepped adjustment and digital dosing interface. Heavy metal construction intended for prosumer and light commercial use.,OK - range matches source,
Maestro,https://honestcoffeeguide.com/baratza-maestro-grind-settings/,Baratza,Maestro,200,1010,810,40,External stepped dial,20.25,Older entry-level conical-burr home grinder with 40 external stepped settings. All-round home use leaning toward filter and drip brews; not a true espresso grinder. Predecessor design to the Encore family with a plastic consumer body.,OK - range matches source,
Maestro Plus,https://honestcoffeeguide.com/baratza-maestro-plus-grind-settings/,Baratza,Maestro Plus,200,1010,810,40,External stepped dial,20.25,Upgraded version of the Maestro with the same 40-step external stepped conical-burr adjustment and identical 200-1010 micron range. All-round home grinder for filter/drip; the Plus added a timer and higher-torque motor over the base Maestro. Discontinued legacy model preceding the Encore.,OK - range matches source,
Preciso,https://honestcoffeeguide.com/baratza-preciso-grind-settings/,Baratza,Preciso,200,1170,970,120,Macro+micro stepped,8.083333333,"Higher-precision sibling of the Maestro/Virtuoso line using 40mm conical burrs plus a micro-adjust collar, giving 40 macro steps each subdivided by lettered micro steps. Designed as an all-rounder with enough fine resolution to attempt espresso as well as filter. Discontinued legacy model that introduced micro-stepping to Baratza's consumer range.",OK - range matches source,
Sette 270,https://honestcoffeeguide.com/baratza-sette-270-grind-settings/,Baratza,Sette 270,230,950,720,120,Macro+micro stepped,6,"Espresso-focused single-dose grinder with 40mm conical burrs in an upper-burr-rotating design that grinds straight down for very low retention and fast output. 30 outer macro steps plus a 9-position inner micro ring for fine espresso control. Tall, fast and somewhat loud; excellent for espresso and capable of filter at coarser settings.",OK - range matches source,
Sette 270 W,https://honestcoffeeguide.com/baratza-sette-270-w-grind-settings/,Baratza,Sette 270 W,230,950,720,120,Macro+micro stepped,6,"Same espresso-focused Sette platform as the 270 (40mm conical burrs, low-retention straight-down grinding) with the addition of a built-in single-weight grind-by-weight scale. 30 macro plus 9 micro stepped settings. Grinds by target weight for a single dose; otherwise identical grind behavior to the 270.",OK - range matches source,
Sette 270 Wi,https://honestcoffeeguide.com/baratza-sette-270-wi-grind-settings/,Baratza,Sette 270 Wi,230,950,720,120,Macro+micro stepped,6,Top Sette model with intelligent grind-by-weight (Wi) that auto-adjusts grind time based on measured output for repeatable doses. Same 40mm conical-burr low-retention straight-down design and 30 macro plus 9 micro stepped adjustment. Espresso-focused single-doser also usable for filter at coarser settings.,OK - range matches source,
Sette 30,https://honestcoffeeguide.com/baratza-sette-30-grind-settings/,Baratza,Sette 30,230,950,720,30,Stepped (no micro),24,"Budget version of the Sette platform with 40mm conical burrs and the same fast, low-retention straight-down grind path but only the 30 macro stepped settings (no fine micro-adjust ring). Espresso-capable single-doser aimed at value buyers; the coarser resolution makes dialing espresso less precise than the 270 series.",OK - range matches source,
Starbucks Barista,https://honestcoffeeguide.com/baratza-starbucks-barista-grind-settings/,Baratza,Starbucks Barista,200,1010,810,40,External stepped dial,20.25,Rebadged Baratza Maestro-class conical-burr home grinder sold under the Starbucks Barista name. 40-step external stepped adjustment with a 200-1010 micron range identical to the Maestro. All-round home grinder for drip/filter; legacy consumer model.,OK - range matches source,
Vario,https://honestcoffeeguide.com/baratza-vario-grind-settings/,Baratza,Vario,230,1150,920,100,Macro+micro stepped,9.2,"Prosumer grinder with 54mm ceramic flat burrs and dual-slider macro/micro stepped adjustment (numbered macro 1-10 plus lettered micro steps). True all-rounder capable of both espresso and filter; ceramic burrs run cool and stay sharp. Digital display, programmable timed dosing and metal-and-plastic build; can be upgraded to steel flat burrs.",OK - range matches source,
Vario W,https://honestcoffeeguide.com/baratza-vario-w-grind-settings/,Baratza,Vario W,230,1150,920,100,Macro+micro stepped,9.2,Grind-by-weight (W) version of the Vario with 54mm ceramic flat burrs and the same dual-slider macro/micro stepped adjustment. Adds an integrated scale to dose by weight rather than time. Prosumer all-rounder for espresso and filter; cool-running ceramic burrs and metal build.,OK - range matches source,
Vario W+,https://honestcoffeeguide.com/baratza-vario-w-plus-grind-settings/,Baratza,Vario W+,230,1150,920,100,Macro+micro stepped,9.2,"Updated grind-by-weight Vario+ generation with 54mm steel flat burrs (upgraded from ceramic), improved gearbox and a redesigned single-dose-friendly chassis. Dual-slider macro/micro stepped adjustment plus an integrated scale for dosing by weight. Prosumer all-rounder excelling at both espresso and filter.",OK - range matches source,
Vario+,https://honestcoffeeguide.com/baratza-vario-plus-grind-settings/,Baratza,Vario+,230,1150,920,100,Macro+micro stepped,9.2,"Refreshed Vario (2023 generation) with 54mm steel flat burrs, a sturdier metal body, improved gearbox and lower retention than the original Vario. Dual-slider macro/micro stepped adjustment for fine control. Prosumer all-rounder strong at espresso and filter; timed dosing (non-weight version).",OK - range matches source,
Virtuoso,https://honestcoffeeguide.com/baratza-virtuoso-grind-settings/,Baratza,Virtuoso,200,1100,900,40,External stepped dial,22.5,"Mid-range home grinder using Baratza 40mm M3 conical steel burrs, a step up from the Encore with a higher-torque motor and more uniform grind. 40-step external stepped adjustment. All-rounder best for filter, pour over and French press; can reach espresso-ish fineness but is not a dedicated espresso grinder.",OK - range matches source,
Virtuoso+,https://honestcoffeeguide.com/baratza-virtuoso-plus-grind-settings/,Baratza,Virtuoso+,200,1200,1000,40,External stepped dial,25,"Upgraded Virtuoso with 40mm conical steel burrs, a digital countdown timer and a slightly wider range (200-1200 microns) than the original Virtuoso. 40-step external stepped adjustment. Premium all-round home grinder for filter and drip with a metal-trimmed build; finest settings approach but are not ideal for true espresso.",OK - range matches source,
Core All Grind,https://honestcoffeeguide.com/barista-and-co-core-all-grind-grind-settings/,Barista & Co,Core All Grind,200,1010,810,40,External stepped dial,20.25,"Electric grinder with 29mm stainless steel flat/conical burrs and 40 click-stop settings from coarse to fine. Low-speed DC motor around 415 rpm reduces heat, with a 240g bean hopper and 120g grounds container. Marketed as an all-round home/office grinder for filter, brew and lighter espresso; consistency is good for the price but not espresso-specialist level.",OK - range matches source,
Premium Coffee Hand Grinder,https://honestcoffeeguide.com/barista-space-premium-coffee-hand-grinder-grind-settings/,Barista Space,Premium Coffee Hand Grinder,0,1130,1130,48,External stepped dial,23.54166667,"Manual hand grinder using a conical burr (commonly stainless steel) with an external numbered click-adjustment dial. Compact and portable, aimed at all-round home brewing across espresso to French press. Detailed manufacturer step counts and micron-per-step data are not reliably published for this generic-branded model.",OK - range matches source,
Electric Coffee Grinder,https://honestcoffeeguide.com/bellelife-electric-coffee-grinder-grind-settings/,Bellelife,Electric Coffee Grinder,220,1400,1180,51,External stepped dial,23.1372549,"Electric grinder with a 420 stainless steel conical burr and 51 stepped coarseness settings selected via a touch/button panel with memory function. Anti-static, direct-drop chute design reduces spill and retention. Marketed as an affordable all-round grinder for espresso through French press; build and consistency are entry-level.",OK - range matches source,
Vertical 63,https://honestcoffeeguide.com/bentwood-vertical-63-grind-settings/,Bentwood,Vertical 63,0,1400,1400,28,Stepless,50,"High-end commercial/prosumer grinder with 63mm vertical flat special-steel burrs and stepless adjustment guided by a lens display indicating particle size. Powerful 660W motor at 1400 rpm, 3-8 g/s throughput, double ventilation cooling and a vibration chute giving very low retention (about 0.1-0.4g). All-round capable for espresso and filter, built for high-volume precision dial-in.",OK - range matches source,
Bistro 10903,https://honestcoffeeguide.com/bodum-bistro-10903-grind-settings/,Bodum,Bistro 10903,365,1390,1025,12,External stepped dial,85.41666667,"Electric grinder with conical stainless steel burrs and 12 stepped settings shown as dots from Fine to Coarse. Low-speed motor to limit heat, push-to-grind operation with a friction-clutch borosilicate glass catch cup that reduces static. Intended for all-round home filter, French press and pour-over; not fine enough for true espresso. Build is mostly plastic, entry-level consistency.",OK - range matches source,
IT,https://honestcoffeeguide.com/bravo-it-grind-settings/,Bravo,IT,0,1400,1400,330,External stepped (rotation.number.tick),4.242424242,"Manual hand grinder whose setting is expressed in three parts (rotations, number, tick) indicating a multi-rotation external stepped adjustment with fine increments. Uses a conical burr suited to a wide range from espresso to cold brew. Detailed manufacturer burr-size and micron-per-step specs are not reliably published for this model.",OK - range matches source,
The Dose Control Pro,https://honestcoffeeguide.com/breville-sage-the-dose-control-pro-grind-settings/,Breville/Sage,The Dose Control Pro,200,820,620,60,External stepped dial,10.33333333,"Electric grinder (Sage BCG600) with 40mm stainless steel conical burrs and 60 stepped grind settings via an external dial. Electronic timed dosing in 0.2s increments, hands-free portafilter cradle and direct-grind chute. Aimed at all-round home use from espresso to French press; capable but the 60-step resolution limits very fine espresso dial-in.",OK - range matches source,
The Smart Grinder Pro,https://honestcoffeeguide.com/breville-sage-the-smart-grinder-pro-grind-settings/,Breville/Sage,The Smart Grinder Pro,200,820,620,60,External stepped dial,10.33333333,"Electric grinder (Sage BCG820) with stainless steel conical burrs and 60 external stepped settings, plus a secondary adjustable upper burr for extending the range. Precision digital dosing in 0.2s increments, 450g hopper, LCD control and 50-58mm portafilter cradles. All-round grinder handling espresso through French press; good consistency for the price though not single-dose optimized.",OK - Breville publishes no microns/step,
Grinder,https://honestcoffeeguide.com/cafflano-grinder-grind-settings/,Cafflano,Grinder,0,980,980,8,External stepped dial,122.5,"Ultralight (about 295g) portable manual grinder (the Krinder) with Italian hardened/tempered conical steel burrs and a detachable handle. Adjustment is a coarse stepped rotary dial scaled 1-8, with large jumps between steps that make precise espresso dial-in difficult. Best for travel and all-round filter/French press brewing rather than espresso; 30g bean capacity.",OK - range matches source,
Infinity,https://honestcoffeeguide.com/capresso-infinity-grind-settings/,Capresso,Infinity,240,1220,980,16,External stepped dial,61.25,"Electric grinder with commercial-grade conical steel burrs and 16 stepped settings (4 each across extra fine, fine, regular, coarse). Slow gear-reduction motor under 450 rpm minimizes heat, static and noise. All-round home grinder good for drip, pour-over and French press and capable of fine grinds, though step resolution limits true espresso precision.",OK - range matches source,
Infinity Plus,https://honestcoffeeguide.com/capresso-infinity-plus-grind-settings/,Capresso,Infinity Plus,240,1220,980,16,External stepped dial,61.25,"Updated Infinity with commercial-grade conical steel burrs and the same 16 stepped settings across extra fine to coarse. Slow sub-450 rpm gear-reduction motor reduces heat and static, with a removable upper burr for cleaning and a more refined housing. All-round home grinder for drip, pour-over and French press; capable of fine grinds but step count limits espresso dial-in.",OK - range matches source,
C40 MK4,https://honestcoffeeguide.com/comandante-c40-mk4-grind-settings/,Comandante,C40 MK4,0,1090,1090,40,Internal stepped (click),27.25,"Premium manual grinder with 39mm high-nitrogen stainless steel conical Nitro Blade burrs and an internal stepped click adjustment of roughly 30 microns per click. Excellent build with glass catch jars and very high grind uniformity across espresso to French press. The benchmark all-round hand grinder, though the standard axle is a touch coarse-stepped for espresso (addressed by Red Clix).",OK - range matches source,
C40 MK4 (with Red Clix),https://honestcoffeeguide.com/comandante-c40-mk4-with-red-clix-grind-settings/,Comandante,C40 MK4 (with Red Clix),0,1090,1090,80,Internal stepped (click),13.625,"Same C40 MK4 with 39mm Nitro Blade conical burrs but fitted with the Red Clix finer-stepped axle upgrade, roughly halving each step to about 15 microns per click and doubling the number of adjustment steps. This gives far finer espresso dial-in resolution while retaining the same overall range. Excellent all-round and espresso-capable manual grinder.",OK - range matches source,
C60 Baracuda,https://honestcoffeeguide.com/comandante-c60-baracuda-grind-settings/,Comandante,C60 Baracuda,0,1090,1090,55,Internal stepped (click),19.81818182,Larger flagship manual grinder with a 60mm high-nitrogen stainless steel conical Nitro Blade burr (the biggest in the Comandante range) for 2-3x faster grinding. Uses the GX50 Gold Clix click system; standard configuration steps are about 21 microns per click. Premium build with Big Joe handle (about 1000g); excellent all-round and espresso-capable performance with higher throughput than the C40.,OK - range matches source,
C60 Baracuda (with Gold Clix),https://honestcoffeeguide.com/comandante-c60-baracuda-with-gold-clix-grind-settings/,Comandante,C60 Baracuda (with Gold Clix),0,1090,1090,110,Internal stepped (click),9.909090909,"C60 Baracuda with the finer-stepped Gold Clix (GX50) axle upgrade, roughly doubling the number of click stops for finer dial-in while keeping the same range. Uses the same 60mm Nitro Blade conical burr. High-throughput, espresso-capable premium manual grinder.",OK - range matches source,
X25 Trailmaster,https://honestcoffeeguide.com/comandante-x25-trailmaster-grind-settings/,Comandante,X25 Trailmaster,0,1090,1090,40,Internal stepped (click),27.25,Rugged travel-oriented version of the C40 MK4 with the same 39mm high-nitrogen stainless steel conical Nitro Blade burrs and internal stepped click adjustment of roughly 30 microns per click. Built with a more durable polymer body and protective sleeve for portability. All-round manual grinder spanning espresso to French press with the same high uniformity as the C40.,OK - range matches source,
X25 Trailmaster (with Red Clix),https://honestcoffeeguide.com/comandante-x25-trailmaster-with-red-clix-grind-settings/,Comandante,X25 Trailmaster (with Red Clix),0,1090,1090,80,Internal stepped (click),13.625,"Travel-focused X25 with the same 39mm Nitro Blade conical burrs fitted with the Red Clix finer-stepped axle upgrade, roughly halving each step to about 15 microns per click for precise espresso dial-in. Durable portable body with the same grind quality as the C40 MK4. Excellent all-round and espresso-capable manual grinder for travel.",OK - range matches source,
